"zero","one","two","three","four","five","six","seven","eight","nine",
27,0,0,0,0,0,0,1,0,0,"zero"
0,32,0,0,0,0,0,0,0,0,"one"
1,1,16,0,0,0,0,0,0,0,"two"
0,0,0,29,0,2,0,0,0,0,"three"
0,0,0,0,20,0,0,0,0,3,"four"
0,1,0,0,1,22,0,0,0,0,"five"
1,0,0,0,0,1,26,0,0,0,"six"
0,0,0,0,1,0,0,14,0,4,"seven"
0,1,0,0,0,1,0,1,24,0,"eight"
0,0,0,0,1,0,0,0,0,18,"nine"
