"zero","one","two","three","four","five","six","seven","eight","nine",
26,0,0,0,0,1,0,1,0,0,"zero"
0,32,0,0,0,0,0,0,0,0,"one"
1,1,15,0,0,0,0,1,0,0,"two"
0,0,1,28,0,2,0,0,0,0,"three"
0,0,0,0,21,0,0,0,0,2,"four"
0,1,0,1,1,20,1,0,0,0,"five"
0,0,0,0,0,1,27,0,0,0,"six"
0,0,0,0,2,0,0,14,0,3,"seven"
0,0,0,1,0,1,0,1,24,0,"eight"
0,0,0,0,2,0,0,0,0,17,"nine"
